58.98	47.70	82.30	8	4.50	0.07
58.68	47.39	82.23	8	4.50	0.08
58.30	46.87	82.09	8	4.50	0.09
46.44	71.60	47.91	9	1.00	0.01
55.83	46.94	74.80	9	1.00	0.02
58.56	48.63	78.62	9	1.00	0.03
59.46	49.42	79.55	9	1.00	0.04
60.77	50.44	81.47	9	1.00	0.05
60.79	50.49	81.43	9	1.00	0.06
60.91	50.65	81.67	9	1.00	0.07
60.45	49.94	81.85	9	1.00	0.08
61.06	50.52	82.48	9	1.00	0.09
46.18	71.45	47.45	9	1.50	0.01
55.66	46.58	74.96	9	1.50	0.02
58.77	49.32	77.93	9	1.50	0.03
60.08	50.17	79.99	9	1.50	0.04
60.34	50.33	80.42	9	1.50	0.05
60.75	50.52	81.41	9	1.50	0.06
60.73	50.36	81.59	9	1.50	0.07
60.37	49.92	81.46	9	1.50	0.08
60.17	49.62	81.33	9	1.50	0.09
46.14	71.35	47.57	9	2.00	0.01
55.53	46.66	74.33	9	2.00	0.02
58.45	48.83	77.94	9	2.00	0.03
58.99	49.05	79.05	9	2.00	0.04
59.55	49.50	79.86	9	2.00	0.05
59.64	49.42	80.21	9	2.00	0.06
59.64	49.25	80.59	9	2.00	0.07
59.58	49.09	80.71	9	2.00	0.08
59.68	49.22	80.93	9	2.00	0.09
47.12	72.22	48.70	9	2.50	0.01
57.85	49.03	76.39	9	2.50	0.02
60.51	50.88	79.85	9	2.50	0.03
61.39	51.33	81.27	9	2.50	0.04
61.25	51.13	81.48	9	2.50	0.05
61.20	50.91	81.71	9	2.50	0.06
61.16	50.77	81.95	9	2.50	0.07
60.58	50.05	81.41	9	2.50	0.08
60.33	49.81	81.44	9	2.50	0.09
46.66	71.90	47.77	9	3.00	0.01
57.07	48.45	75.31	9	3.00	0.02
60.31	50.86	79.42	9	3.00	0.03
61.00	51.18	80.72	9	3.00	0.04
60.82	50.85	80.71	9	3.00	0.05
60.69	50.55	80.68	9	3.00	0.06
60.82	50.45	81.27	9	3.00	0.07
60.46	50.13	80.92	9	3.00	0.08
60.53	50.06	81.46	9	3.00	0.09
46.68	71.87	47.97	9	3.50	0.01
56.21	47.62	74.55	9	3.50	0.02
60.08	50.90	78.73	9	3.50	0.03
60.04	50.43	79.18	9	3.50	0.04
60.79	50.92	80.41	9	3.50	0.05
60.69	50.81	80.06	9	3.50	0.06
60.34	50.18	80.35	9	3.50	0.07
60.43	50.16	80.59	9	3.50	0.08
59.98	49.63	80.60	9	3.50	0.09
46.49	71.77	47.56	9	4.00	0.01
55.83	47.39	73.82	9	4.00	0.02
60.16	51.02	78.49	9	4.00	0.03
59.49	50.04	78.50	9	4.00	0.04
60.04	50.33	79.17	9	4.00	0.05
59.74	49.91	78.93	9	4.00	0.06
60.30	50.31	79.84	9	4.00	0.07
59.64	49.57	79.56	9	4.00	0.08
59.40	49.23	79.66	9	4.00	0.09
46.71	72.06	47.51	9	4.50	0.01
56.32	48.24	73.69	9	4.50	0.02
61.70	52.54	79.89	9	4.50	0.03
61.90	52.50	80.30	9	4.50	0.04
61.35	51.88	79.87	9	4.50	0.05
61.24	51.34	80.60	9	4.50	0.06
61.68	51.79	81.16	9	4.50	0.07
60.83	50.83	80.48	9	4.50	0.08
60.52	50.48	80.50	9	4.50	0.09
46.91	72.23	47.40	10	1.00	0.01
56.72	48.99	72.59	10	1.00	0.02
59.88	51.17	76.74	10	1.00	0.03
60.97	52.22	77.83	10	1.00	0.04
62.05	53.41	78.86	10	1.00	0.05
62.46	53.83	79.20	10	1.00	0.06
63.03	54.19	79.98	10	1.00	0.07
63.05	53.98	80.54	10	1.00	0.08
63.42	54.40	80.95	10	1.00	0.09
46.35	71.86	46.53	10	1.50	0.01
56.99	49.25	73.06	10	1.50	0.02
60.85	52.57	77.01	10	1.50	0.03
61.67	53.20	78.23	10	1.50	0.04
61.82	53.22	78.64	10	1.50	0.05
62.07	53.20	79.28	10	1.50	0.06
